#-----------------------------------------------------------------------------
# Date d'extraction : 16/07/2019 - 07h16 loc.
#-----------------------------------------------------------------------------
# Producteur : DCLIM
# Experience : CLIMSEC
# Modele     : ARPEGE_RETIC
# Scenario :
#     A2 : scenario A2
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : saisonnier
#                  (1 - hiver, 2 - printemps, 3 - été, 4 - automne)
#-----------------------------------------------------------------------------
# Indices : 
#     NORSSWI : Intégration de Indicateur sècheresse d'humidité des sols (null)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;Saison;NORSSWI;
#-----------------------------------------------------------------------------
1141;41.8313;9.3033;A2;H1;2;-0.23;
1141;41.8313;9.3033;A2;H1;3;0.28;
1141;41.8313;9.3033;A2;H1;4;-0.48;
1277;41.9452;8.6413;A2;H1;1;-1.5;
1277;41.9452;8.6413;A2;H1;2;-0.63;
1277;41.9452;8.6413;A2;H1;3;-0.32;
1277;41.9452;8.6413;A2;H1;4;-0.98;
1278;41.9394;8.7372;A2;H1;1;-1.69;
1278;41.9394;8.7372;A2;H1;2;-0.94;
1278;41.9394;8.7372;A2;H1;3;-0.5;
1278;41.9394;8.7372;A2;H1;4;-0.89;
1279;41.9335;8.833;A2;H1;1;-1.71;
1279;41.9335;8.833;A2;H1;2;-0.98;
1279;41.9335;8.833;A2;H1;3;-0.52;
1279;41.9335;8.833;A2;H1;4;-0.89;
1280;41.9276;8.9288;A2;H1;1;-1.54;
1280;41.9276;8.9288;A2;H1;2;-0.68;
1280;41.9276;8.9288;A2;H1;3;-0.36;
1280;41.9276;8.9288;A2;H1;4;-1.08;
1281;41.9215;9.0246;A2;H1;1;-1.28;
1281;41.9215;9.0246;A2;H1;2;-0.5;
1281;41.9215;9.0246;A2;H1;3;0.03;
1281;41.9215;9.0246;A2;H1;4;-0.72;
1282;41.9154;9.1203;A2;H1;1;-1.06;
1282;41.9154;9.1203;A2;H1;2;-0.57;
1282;41.9154;9.1203;A2;H1;3;-0.31;
1282;41.9154;9.1203;A2;H1;4;-0.84;
1283;41.9091;9.216;A2;H1;1;-1.61;
1283;41.9091;9.216;A2;H1;2;-0.5;
1283;41.9091;9.216;A2;H1;3;-0.33;
1283;41.9091;9.216;A2;H1;4;-1.06;
1284;41.9028;9.3118;A2;H1;1;-0.87;
1284;41.9028;9.3118;A2;H1;2;-0.28;
1284;41.9028;9.3118;A2;H1;3;-0.24;
1284;41.9028;9.3118;A2;H1;4;-0.35;
1421;42.011;8.745;A2;H1;1;-1.7;
1421;42.011;8.745;A2;H1;2;-1.05;
1421;42.011;8.745;A2;H1;3;-0.53;
1421;42.011;8.745;A2;H1;4;-0.91;
1422;42.0051;8.8409;A2;H1;1;-1.64;
1422;42.0051;8.8409;A2;H1;2;-1.05;
1422;42.0051;8.8409;A2;H1;3;-0.57;
1422;42.0051;8.8409;A2;H1;4;-0.91;
1423;41.9991;8.9368;A2;H1;1;-1.51;
1423;41.9991;8.9368;A2;H1;2;-0.6;
1423;41.9991;8.9368;A2;H1;3;-0.27;
1423;41.9991;8.9368;A2;H1;4;-0.89;
1424;41.993;9.0327;A2;H1;1;-1.66;
1424;41.993;9.0327;A2;H1;2;-0.9;
1424;41.993;9.0327;A2;H1;3;-0.28;
1424;41.993;9.0327;A2;H1;4;-0.87;
1425;41.9869;9.1286;A2;H1;1;-1.08;
1425;41.9869;9.1286;A2;H1;2;-1.34;
1425;41.9869;9.1286;A2;H1;3;-0.36;
1425;41.9869;9.1286;A2;H1;4;-0.87;
1426;41.9806;9.2245;A2;H1;1;-1.66;
1426;41.9806;9.2245;A2;H1;2;-0.72;
1426;41.9806;9.2245;A2;H1;3;-0.54;
1426;41.9806;9.2245;A2;H1;4;-1.15;
1427;41.9743;9.3203;A2;H1;1;-0.92;
1427;41.9743;9.3203;A2;H1;2;-0.17;
1427;41.9743;9.3203;A2;H1;3;-0.16;
1427;41.9743;9.3203;A2;H1;4;-0.25;
1563;42.0883;8.6568;A2;H1;1;-1.78;
1563;42.0883;8.6568;A2;H1;2;-0.94;
1563;42.0883;8.6568;A2;H1;3;-0.46;
1563;42.0883;8.6568;A2;H1;4;-0.91;
1564;42.0825;8.7528;A2;H1;1;-1.76;
1564;42.0825;8.7528;A2;H1;2;-1.02;
1564;42.0825;8.7528;A2;H1;3;-0.54;
1564;42.0825;8.7528;A2;H1;4;-0.94;
1565;42.0766;8.8489;A2;H1;1;-1.8;
1565;42.0766;8.8489;A2;H1;2;-0.54;
1565;42.0766;8.8489;A2;H1;3;-0.31;
1565;42.0766;8.8489;A2;H1;4;-0.9;
1566;42.0706;8.9449;A2;H1;1;-1.76;
1566;42.0706;8.9449;A2;H1;2;-0.66;
